INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,SCH_DEG,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LOCALE2,LATITUDE,LONGITUDE,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,MN_EARN_WNE_P10,MD_EARN_WNE_P10,SCHTYPE
Southwest Texas Junior College,Uvalde,TX,78801-6297,Southern Association of Colleges and Schools Commission on Colleges,www.swtjc.net,www.collegeforalltexans.com/apps/CollegeMoney/,2,0,1,1,2,2,1,48,6,33,NULL,29.219671,-99.741237,13111,NULL,2382,6170,NULL,1606,33800,28200,1
Southwestern Assemblies of God University,Waxahachie,TX,75165,Southern Association of Colleges and Schools Commission on Colleges,www.sagu.edu,www.sagu.edu/financial-aid/net-price-calculator,3,0,1,1,3,4,2,48,6,21,NULL,32.40443,-96.853492,34240,NULL,19582,19582,NULL,12798,38700,35700,2
Southwestern University,Georgetown,TX,78626,Southern Association of Colleges and Schools Commission on Colleges,www.southwestern.edu,www.southwestern.edu/scholarships-financial-aid/grants-loans/net-price-calculator/,3,0,1,1,3,3,2,48,6,13,NULL,30.634341,-97.665738,54285,NULL,42000,42000,NULL,16828,63400,54000,2
Stephen F Austin State University,Nacogdoches,TX,75961,Southern Association of Colleges and Schools Commission on Colleges,www.sfasu.edu,www.sfasu.edu/faid/npc.asp,3,0,1,1,3,4,1,48,6,33,NULL,31.621056,-94.64908,20823,NULL,8316,18276,NULL,7420,46400,41900,1
Texas State University,San Marcos,TX,78666,Southern Association of Colleges and Schools Commission on Colleges,www.txstate.edu,www.finaid.txstate.edu/more-info/npc.html,3,0,1,1,3,4,1,48,6,13,NULL,29.888885,-97.943029,22322,NULL,10280,21900,NULL,8302,51100,45700,1
Southwestern Adventist University,Keene,TX,76059,Southern Association of Colleges and Schools Commission on Colleges,www.swau.edu/,https://swau.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,2,48,6,31,NULL,32.397617,-97.32702,31071,NULL,21564,21564,NULL,13900,47100,41500,2
Southwestern Christian College,Terrell,TX,75160-4812,Southern Association of Colleges and Schools Commission on Colleges,www.swcc.edu,www.collegeforalltexans.com/apps/CollegeMoney/,2,1,1,1,2,3,2,48,6,32,NULL,32.735508,-96.285649,15829,NULL,8131,8131,NULL,8659,29500,27000,2
Sul Ross State University,Alpine,TX,79832,Southern Association of Colleges and Schools Commission on Colleges,www.sulross.edu,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,1,3,4,1,48,6,33,NULL,30.363139,-103.651469,21859,NULL,6816,16776,NULL,4026,41400,37900,1
Tarleton State University,Stephenville,TX,76401-0000,Southern Association of Colleges and Schools Commission on Colleges,www.tarleton.edu,www.collegeforalltexans.com/apps/CollegeMoney/index.php,3,0,1,1,3,4,1,48,6,33,NULL,32.214988,-98.214866,20387,NULL,7292,17252,NULL,6594,47700,42500,1
Tarrant County College District,Fort Worth,TX,76102-6524,Southern Association of Colleges and Schools Commission on Colleges,www.tccd.edu,www.tccd.edu/services/paying-for-college/tuition-and-fees/cost-of-attendance/,2,0,1,1,2,2,1,48,6,11,NULL,32.747495,-97.327941,10736,NULL,1661,7560,NULL,1699,38200,34400,1
Temple College,Temple,TX,76504-7435,Southern Association of Colleges and Schools Commission on Colleges,www.templejc.edu,www.collegeforalltexans.com/apps/CollegeMoney/,2,0,1,1,2,2,1,48,6,13,NULL,31.070715,-97.350471,10443,NULL,2376,6048,NULL,3008,37600,34000,1
Texarkana College,Texarkana,TX,75599,Southern Association of Colleges and Schools Commission on Colleges,https://www.texarkanacollege.edu,https://www.texarkanacollege.edu/financial-aid/,2,0,1,1,2,2,1,48,6,13,NULL,33.441868,-94.078,12127,NULL,2236,4756,NULL,2263,32100,27700,1
Texas A & M University-Kingsville,Kingsville,TX,78363,Southern Association of Colleges and Schools Commission on Colleges,https://WWW.TAMUK.EDU,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,1,3,4,1,48,6,32,NULL,27.525168,-97.882387,22165,NULL,8922,23899,NULL,6327,49300,42600,1
Texas A & M University-College Station,College Station,TX,77843-1248,Southern Association of Colleges and Schools Commission on Colleges,https://www.tamu.edu,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,2,3,4,1,48,6,12,NULL,30.618726,-96.336475,28314,NULL,11870,37495,NULL,10997,67800,58000,1
The University of Texas at Arlington,Arlington,TX,76013,Southern Association of Colleges and Schools Commission on Colleges,https://WWW.UTA.EDU,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,1,3,4,1,48,6,11,NULL,32.729718,-97.11296,21633,NULL,10496,26533,NULL,7513,54000,48700,1
The University of Texas at Austin,Austin,TX,78705,Southern Association of Colleges and Schools Commission on Colleges,www.utexas.edu,www.collegeforalltexans.com/apps/CollegeMoney/index.php,3,0,1,1,3,4,1,48,6,11,NULL,30.282825,-97.738273,25228,NULL,10610,37580,NULL,10873,73900,58200,1
The University of Texas at Dallas,Richardson,TX,75080-3021,Southern Association of Colleges and Schools Commission on Colleges,www.utdallas.edu,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,1,3,4,1,48,6,12,NULL,32.984673,-96.749702,24429,NULL,13034,36876,NULL,11581,61400,53100,1
The University of Texas at El Paso,El Paso,TX,79968-0691,Southern Association of Colleges and Schools Commission on Colleges,www.utep.edu,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,1,3,4,1,48,6,11,NULL,31.77015,-106.504098,16927,NULL,8198,22629,NULL,6289,43300,40000,1
The University of Texas at Tyler,Tyler,TX,75799-6699,Southern Association of Colleges and Schools Commission on Colleges,www.uttyler.edu/,https://www.uttyler.edu/admissions/cost-calculator.php,3,0,1,1,3,4,1,48,6,12,NULL,32.315772,-95.254337,19690,NULL,8292,21282,NULL,6170,50500,44200,1
Texas Christian University,Fort Worth,TX,76129,Southern Association of Colleges and Schools Commission on Colleges,www.tcu.edu/,https://financialaid.tcu.edu/cost/net-price-calculator.php,3,0,1,1,3,4,2,48,6,11,NULL,32.70961,-97.364758,62669,NULL,46950,46950,NULL,27807,62600,52800,2
Texas College,Tyler,TX,75702,Southern Association of Colleges and Schools Commission on Colleges,www.texascollege.edu,https://nces.ed.gov/ipeds/netpricecalculator/,3,0,1,1,3,3,2,48,6,12,NULL,32.37456,-95.312454,25376,NULL,10008,10008,NULL,7746,28000,23400,2
Texas Lutheran University,Seguin,TX,78155-5999,Southern Association of Colleges and Schools Commission on Colleges,www.tlu.edu,www.tlu.edu/costs?rc=0,3,0,1,1,3,4,2,48,6,31,NULL,29.573261,-97.982669,42064,NULL,29960,29960,NULL,10942,51100,45600,2
The University of Texas of the Permian Basin,Odessa,TX,79762-0001,Southern Association of Colleges and Schools Commission on Colleges,www.utpb.edu,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,1,3,4,1,48,6,12,NULL,31.889509,-102.329634,18125,NULL,6260,7100,NULL,6740,52300,46100,1
The University of Texas at San Antonio,San Antonio,TX,78249-1644,Southern Association of Colleges and Schools Commission on Colleges,www.utsa.edu/,bluebook.utsa.edu/AttendanceCost.aspx,3,0,1,1,3,4,1,48,6,11,NULL,29.583709,-98.620657,20823,NULL,8049,19538,NULL,7826,49600,45300,1
Texas Southern University,Houston,TX,77004,Southern Association of Colleges and Schools Commission on Colleges,www.tsu.edu,www.tsu.edu/admissions/financial-aid/college-costs.html,3,0,1,1,3,4,1,48,6,11,NULL,29.721046,-95.361113,24004,NULL,9173,21623,NULL,8588,37600,31300,1
Texas Tech University,Lubbock,TX,79409-5005,Southern Association of Colleges and Schools Commission on Colleges,www.ttu.edu,www.depts.ttu.edu/financialaid/netCostCalcHome.php,3,0,1,1,3,4,1,48,6,11,NULL,33.583448,-101.874783,23157,NULL,9080,19040,NULL,9360,61600,51400,1
Texas Wesleyan University,Fort Worth,TX,76105-1536,Southern Association of Colleges and Schools Commission on Colleges,www.txwes.edu,txwes.edu/admissions/what-will-it-cost/net-price-calculator/,3,0,1,1,3,4,2,48,6,11,NULL,32.732962,-97.279613,40838,NULL,30300,30300,NULL,18751,44400,42000,2
Texas Woman's University,Denton,TX,76204,Southern Association of Colleges and Schools Commission on Colleges,www.twu.edu,www.collegeforalltexans.com/apps/CollegeMoney/,3,0,1,1,3,4,1,48,6,12,NULL,33.226211,-97.127842,18135,NULL,7796,17756,NULL,5965,49100,44700,1
Trinity University,San Antonio,TX,78212-7200,Southern Association of Colleges and Schools Commission on Colleges,https://new.trinity.edu/,https://new.trinity.edu/admissions-aid/net-price-calculator,3,0,1,1,3,4,2,48,6,11,NULL,29.462682,-98.48186,56880,NULL,42976,42976,NULL,18143,68000,54900,2
Tyler Junior College,Tyler,TX,75701,Southern Association of Colleges and Schools Commission on Colleges,www.tjc.edu,www.tjc.edu/costcalc,2,0,1,1,2,3,1,48,6,12,NULL,32.33601,-95.284122,14399,NULL,2962,5482,NULL,2297,37100,32500,1
Vernon College,Vernon,TX,76384-4092,Southern Association of Colleges and Schools Commission on Colleges,www.vernoncollege.edu,www.collegeforalltexans.com/apps/CollegeMoney/,1,0,1,1,1,2,1,48,6,41,NULL,34.159298,-99.319094,11721,NULL,3080,5720,NULL,2294,36800,31400,1
Victoria College,Victoria,TX,77901,Southern Association of Colleges and Schools Commission on Colleges,www.victoriacollege.edu,www.victoriacollege.edu/financialaid,2,0,1,1,2,2,1,48,6,13,NULL,28.816446,-96.979226,11663,NULL,2232,5880,NULL,4132,40600,35300,1
Wayland Baptist University,Plainview,TX,79072,Southern Association of Colleges and Schools Commission on Colleges,www.wbu.edu,https://wbu.studentaidcalculator.com,3,0,1,1,3,4,2,48,6,33,NULL,34.187677,-101.730042,30334,NULL,20070,20070,NULL,10382,47200,41300,2
Weatherford College,Weatherford,TX,76086-5699,Southern Association of Colleges and Schools Commission on Colleges,https://www.wc.edu,https://www.wc.edu/financial-aid/cost-attendance,2,0,1,1,2,2,1,48,6,31,NULL,32.74133,-97.792629,11718,NULL,2550,5610,NULL,2168,36400,31000,1
West Texas A & M University,Canyon,TX,79016-0001,Southern Association of Colleges and Schools Commission on Colleges,www.wtamu.edu,apps.wtamu.edu/calculator/,3,0,1,1,3,4,1,48,6,31,NULL,34.982789,-101.914736,20269,NULL,7935,9304,NULL,7066,46700,42700,1
Western Texas College,Snyder,TX,79549,Southern Association of Colleges and Schools Commission on Colleges,www.wtc.edu,https://my.wtc.edu/ICS/Financial_Aid/Default_Page.jnz?portlet=Net_Price_Calculator,2,0,1,1,2,2,1,48,6,33,NULL,32.678458,-100.914945,12053,NULL,2790,5160,NULL,2844,38800,32700,1
Wharton County Junior College,Wharton,TX,77488,Southern Association of Colleges and Schools Commission on Colleges,https://www.wcjc.edu,www.collegeforalltexans.com/apps/CollegeMoney/,2,0,1,1,2,2,1,48,6,32,NULL,29.3238,-96.085815,9508,NULL,2352,4824,NULL,4032,42900,37300,1
Wiley College,Marshall,TX,75670,Southern Association of Colleges and Schools Commission on Colleges,wileyc.edu,https://npc.collegeboard.org/student/app/wileyc,3,1,1,1,3,3,2,48,6,32,NULL,32.537641,-94.376814,20368,NULL,12306,12306,NULL,9520,30700,26700,2
Brigham Young University-Provo,Provo,UT,84602,Northwest Commission on Colleges and Universities,www.byu.edu,https://financialaid.byu.edu/net-price-calculator,3,0,1,1,3,4,2,49,7,12,NULL,40.250851,-111.649281,18136,NULL,5620,5620,NULL,5991,71500,59700,2
Brigham Young University-Hawaii,Laie,HI,96762-1294,Western Association of Schools and Colleges Senior Colleges and University Commission,www.byuh.edu/,financialaid.byuh.edu/net-price-calculator,3,0,1,1,3,3,2,15,8,31,NULL,21.642074,-157.926586,18043,NULL,5560,5560,NULL,2592,49100,42200,2
Broadview University-West Jordan,West Jordan,UT,84088,Accrediting Council for Independent Colleges and Schools,https://www.broadviewuniversity.edu/,https://www.broadviewuniversity.edu/NPC/npcalc.htm,2,0,1,1,2,4,3,49,7,21,NULL,40.609883,-111.942296,27362,NULL,15900,15900,NULL,15585,30700,28100,3
Dixie State University,Saint George,UT,84770-3876,Northwest Commission on Colleges and Universities,dixie.edu/,https://financialaid.dixie.edu/net-price-calculator/,2,0,1,1,2,3,1,49,7,13,NULL,37.102769,-113.565903,18586,NULL,5253,15051,NULL,5967,41400,35400,1
Eagle Gate College-Murray,Murray,UT,84123-6965,Accrediting Bureau of Health Education Schools,EAGLEGATECOLLEGE.EDU,www.eaglegatecollege.edu/financial-aid-admissions/net-price-calculator/,1,0,1,2,1,3,3,49,7,21,NULL,40.649984,-111.903609,23280,NULL,10975,10975,NULL,25482,31600,28800,3
LDS Business College,Salt Lake City,UT,84101-3500,Northwest Commission on Colleges and Universities,www.ldsbc.edu,https://www.ldsbc.edu/net-price-calculator,2,0,1,1,2,2,2,49,7,12,NULL,40.77113,-111.9002,11544,NULL,3440,3440,NULL,3111,42800,36000,2
Snow College,Ephraim,UT,84627,Northwest Commission on Colleges and Universities,https://www.snow.edu,https://www.collegeraptor.com/Shopping/School/Snow-College-UT--230597,2,0,1,2,2,3,1,49,7,33,NULL,39.360177,-111.58296,12539,NULL,3742,12562,NULL,2913,37200,31700,1
Southern Utah University,Cedar City,UT,84720,Northwest Commission on Colleges and Universities,https://www.suu.edu/,https://www.suu.edu/finaid/net-price/index.html,3,0,1,1,3,4,1,49,7,33,NULL,37.674617,-113.070146,19636,NULL,6770,20586,NULL,6714,45500,39800,1
Stevens-Henager College,West Haven,UT,84401,Accrediting Commission of Career Schools and Colleges,www.stevenshenager.edu,https://stevenshenager.studentaidcalculator.com,2,0,1,7,2,3,2,49,7,21,NULL,41.232847,-112.011617,32208,NULL,16972,16972,NULL,10867,34000,28800,2
Stevens-Henager College,Orem,UT,84058,NULL,www.stevenshenager.edu,www.stevenshenager.edu/net-price-calculator,2,0,0,7,3,3,2,49,7,13,NULL,40.269691,-111.713264,32402,NULL,16972,16972,NULL,12782,34000,28800,NULL
Utah State University,Logan,UT,84322-1400,Northwest Commission on Colleges and Universities,www.usu.edu,www.usu.edu/netprice/,3,0,1,1,3,4,1,49,7,13,NULL,41.740748,-111.81391,18531,NULL,8138,22316,NULL,6483,49600,43200,1
Utah Valley University,Orem,UT,84058-5999,Northwest Commission on Colleges and Universities,www.uvu.edu,www.uvu.edu/financialaid/docs/net_price_calculator/npcalc.html,3,0,1,1,3,4,1,49,7,13,NULL,40.281078,-111.716456,12921,NULL,5726,16296,NULL,4961,50700,43800,1
Salt Lake Community College,Salt Lake City,UT,84123,Northwest Commission on Colleges and Universities,www.slcc.edu,www.slcc.edu/financialaid/net-price-calculator.aspx,2,0,1,1,2,2,1,49,7,21,NULL,40.671575,-111.942809,11800,NULL,3843,12206,NULL,3464,43400,37600,1
University of Utah,Salt Lake City,UT,84112-9008,Northwest Commission on Colleges and Universities,www.utah.edu,financialaid.utah.edu/tuition-and-fees/cost-calculator.php,3,0,1,1,3,4,1,49,7,12,NULL,40.762484,-111.846044,20422,NULL,9222,29215,NULL,12004,63500,53000,1
Weber State University,Ogden,UT,84408-1031,Northwest Commission on Colleges and Universities,www.weber.edu,www.weber.edu/IR/NetPriceCalculator.html,3,0,1,1,2,4,1,49,7,13,NULL,41.192591,-111.944845,15276,NULL,5859,15646,NULL,4656,49900,44500,1
Westminster College,Salt Lake City,UT,84105,Northwest Commission on Colleges and Universities,www.westminstercollege.edu,www.westminstercollege.edu/net-price-calculator,3,0,1,1,3,4,2,49,7,12,NULL,40.730779,-111.855757,45119,NULL,34000,34000,NULL,18393,58100,49800,2
Bennington College,Bennington,VT,05201-6003,New England Commission on Higher Education,www.bennington.edu,www.bennington.edu/admissions-aid/financing-your-education/tuition-and-fees/net-price-calculator,3,0,1,1,3,4,2,50,1,32,NULL,42.919547,-73.237799,70760,NULL,53860,53860,NULL,27805,38400,29500,2
Castleton University,Castleton,VT,5735,New England Commission on Higher Education,www.castleton.edu,https://castleton.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,1,50,1,32,NULL,43.608397,-73.180842,23958,NULL,12314,28322,NULL,12921,40800,37900,1
Champlain College,Burlington,VT,5401,New England Commission on Higher Education,www.champlain.edu,www.champlain.edu/admissions/undergraduate-admissions/financial-aid-undergraduate/champlain-net-price-calculator,3,0,1,1,3,4,2,50,1,13,NULL,44.473287,-73.202746,57607,NULL,41010,41010,NULL,18058,54400,45400,2
Community College of Vermont,Montpelier,VT,5602,New England Commission on Higher Education,www.ccv.edu,https://ccv.studentaidcalculator.com/survey.aspx,2,0,1,1,2,2,1,50,1,41,NULL,44.280811,-72.573774,15079,NULL,7120,14090,NULL,6225,31700,28800,1
Goddard College,Plainfield,VT,05667-9432,New England Commission on Higher Education,www.goddard.edu,web.goddard.edu/npc/,3,0,1,1,3,4,2,50,1,42,NULL,44.279087,-72.438388,29115,NULL,16586,16586,NULL,16352,39700,25400,2
Green Mountain College,Poultney,VT,05764-1199,NULL,www.greenmtn.edu,https://greenmtn.studentaidcalculator.com/welcome.aspx,3,0,1,1,3,4,2,50,1,42,NULL,43.517785,-73.241862,50425,NULL,37080,37080,NULL,15513,34900,30300,NULL
Northern Vermont University,Johnson,VT,05656-9464,New England Commission on Higher Education,www.northernvermont.edu,www.northernvermont.edu/admissions-and-aid/tuition-and-fees/calculate-net-cost,3,0,1,3,3,4,1,50,1,42,NULL,44.641736,-72.671154,23662,NULL,12074,25394,NULL,11984,35600,33200,1
Marlboro College,Marlboro,VT,05344-0300,NULL,www.marlboro.edu,www.marlboro.edu/admissions/undergraduate/financial-aid,3,0,1,2,3,3,2,50,1,42,NULL,42.839603,-72.736552,55625,NULL,40840,40840,NULL,12912,31600,27600,NULL
Middlebury College,Middlebury,VT,5753,New England Commission on Higher Education,www.middlebury.edu,https://middlebury.studentaidcalculator.com/survey.aspx,3,0,1,2,3,4,2,50,1,32,NULL,44.009117,-73.176068,69464,NULL,54450,54450,NULL,44232,71900,58200,2
New England Culinary Institute,Montpelier,VT,5602,Accrediting Commission of Career Schools and Colleges,www.neci.edu,https://www.neci.edu/net-price-calculator.php,3,0,1,1,3,3,3,50,1,32,NULL,44.261307,-72.575081,39673,NULL,22200,22200,NULL,23035,39100,37600,3
Norwich University,Northfield,VT,05663-1035,New England Commission on Higher Education,www.norwich.edu/,www.norwich.edu/financial-aid/net-price-calculator,3,0,1,1,3,4,2,50,1,32,NULL,44.140237,-72.659783,56003,NULL,40014,40014,NULL,14778,57100,53700,2
Saint Michael's College,Colchester,VT,5439,New England Commission on Higher Education,www.smcvt.edu,https://www.smcvt.edu/admissions/financial-aid-and-tuition/net-price-calculator.aspx,3,0,1,1,3,4,2,50,1,22,NULL,44.494558,-73.167069,57461,NULL,45375,45375,NULL,24234,57800,50800,2
College of St Joseph,Rutland,VT,05701-3899,NULL,www.csj.edu,https://www.csj.edu/admissions/tuition-and-costs/cost-calculator/,3,0,1,1,3,4,2,50,1,32,NULL,43.600507,-73.000848,38472,NULL,18520,18520,NULL,9712,39700,36700,NULL
Southern Vermont College,Bennington,VT,5201,NULL,https://svc.edu,https://www.svc.edu/wp-content/uploads/npcalc/npcalc.htm,3,0,1,1,3,3,2,50,1,41,NULL,42.867713,-73.218518,37775,NULL,25511,25511,NULL,12537,38900,34200,NULL
Vermont Technical College,Randolph,VT,5061,New England Commission on Higher Education,www.vtc.edu/,https://vtc.studentaidcalculator.com/survey.aspx,2,0,1,1,2,4,1,50,1,43,NULL,43.939623,-72.604498,26669,NULL,15108,27780,NULL,16206,45900,45000,1
University of Vermont,Burlington,VT,05405-0160,New England Commission on Higher Education,www.uvm.edu,www.uvm.edu/studentfinancialservices/net_price_calculator,3,0,1,1,3,4,1,50,1,13,NULL,44.477325,-73.196646,32825,NULL,18276,42516,NULL,24913,55200,47300,1
Advanced Technology Institute,Virginia Beach,VA,23462,Accrediting Commission of Career Schools and Colleges,www.auto.edu,https://npc.auto.edu/,1,0,1,1,1,2,3,51,5,11,NULL,36.841381,-76.182268,24055,NULL,13200,13200,NULL,19014,42400,40800,3
Averett University,Danville,VA,24541,Southern Association of Colleges and Schools Commission on Colleges,https://www.averett.edu,https://www.averett.edu/financial-aid/netprice-calculator/,3,0,1,1,3,3,2,51,5,32,NULL,36.577287,-79.413203,45091,NULL,34520,34520,NULL,16063,49000,41800,2
Blue Ridge Community College,Weyers Cave,VA,24486-0080,Southern Association of Colleges and Schools Commission on Colleges,https://www.brcc.edu,https://www.vawizard.org/wizard/financing-college,2,0,1,1,1,2,1,51,5,41,NULL,38.279075,-78.937471,14996,NULL,5364,11292,NULL,3311,36300,32100,1
Bluefield College,Bluefield,VA,24605,Southern Association of Colleges and Schools Commission on Colleges,www.bluefield.edu,www.bluefield.edu/cost/,3,0,1,2,3,4,2,51,5,32,NULL,37.244557,-81.246233,36657,NULL,26060,26060,NULL,10149,46000,40900,2
Bridgewater College,Bridgewater,VA,22812-1599,Southern Association of Colleges and Schools Commission on Colleges,https://www.bridgewater.edu/about-bc/,https://webapps.bridgewater.edu/netprice/home,3,0,1,1,3,3,2,51,5,23,NULL,38.378484,-78.969007,48830,NULL,35160,35160,NULL,11238,46600,42500,2
William & Mary,Williamsburg,VA,23187-8795,Southern Association of Colleges and Schools Commission on Colleges,https://www.wm.edu,https://npc.collegeboard.org/app/wm,3,0,1,1,3,4,1,51,5,23,NULL,37.269489,-76.708214,37386,NULL,23400,45272,NULL,19385,74500,58500,1
Regent University,Virginia Beach,VA,23464,Southern Association of Colleges and Schools Commission on Colleges,https://www.regent.edu,https://www.regent.edu/admissions-aid/regent-net-price-calculator/,3,0,1,1,3,4,2,51,5,11,NULL,36.801173,-76.194627,29366,NULL,18380,18380,NULL,12605,45600,41600,2
Central Virginia Community College,Lynchburg,VA,24502-2498,Southern Association of Colleges and Schools Commission on Colleges,www.centralvirginia.edu,https://www.vawizard.org/wizard/npc,1,0,1,1,1,2,1,51,5,13,NULL,37.358809,-79.184238,9649,NULL,4838,10766,NULL,3455,30300,27700,1
Christopher Newport University,Newport News,VA,23606-3072,Southern Association of Colleges and Schools Commission on Colleges,cnu.edu/,cnu.edu/financialaid/calculator/npcalc.htm,3,0,1,1,3,4,1,51,5,12,NULL,37.062495,-76.494364,29407,NULL,14754,27620,NULL,8188,52000,46900,1
Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,23462,Middle States Commission on Higher Education,https://www.bryantstratton.edu,https://www.bryantstratton.edu/financial-aid/net-price-calculator,2,0,0,18,2,3,3,51,5,11,NULL,36.827826,-76.13819,23071,NULL,17529,17529,NULL,15722,26600,24100,3
Bryant & Stratton College-Richmond,North Chesterfield,VA,23235,Middle States Commission on Higher Education,https://www.bryantstratton.edu,https://www.bryantstratton.edu/financial-aid/net-price-calculator,2,0,0,18,2,3,3,51,5,21,NULL,37.45955,-77.543378,22627,NULL,17324,17324,NULL,17171,26600,24100,3
Radford University-Carilion,Roanoke,VA,24013,Southern Association of Colleges and Schools Commission on Colleges,https://www.radford.edu/content/ruc/home.html,https://npc.collegeboard.org/app/radford,NULL,0,1,1,3,4,2,51,5,13,NULL,37.265985,-79.939574,40764,NULL,26886,26886,NULL,19905,58600,54000,1
Dabney S Lancaster Community College,Clifton Forge,VA,24422-1000,Southern Association of Colleges and Schools Commission on Colleges,www.dslcc.edu,https://www.vawizard.org/wizard/npc,1,0,1,1,1,2,1,51,5,41,NULL,37.812275,-79.852536,10910,NULL,4725,10653,NULL,3182,31500,29100,1
Danville Community College,Danville,VA,24541-4004,Southern Association of Colleges and Schools Commission on Colleges,https://www.danville.edu,https://www.danville.edu/fees-and-expenses,1,0,1,1,1,2,1,51,5,32,NULL,36.565286,-79.408803,12067,NULL,4710,10638,NULL,2454,29400,25000,1
Centura College-Virginia Beach,Virginia Beach,VA,23452-7431,Accrediting Commission of Career Schools and Colleges,https://www.centuracollege.edu/your_rights,https://centuracollege.edu/Your_Rights/Shared_Documents/npcalc/CVABcalc.html,2,0,1,5,2,3,3,51,5,11,NULL,36.837648,-76.064499,30035,NULL,15887,15887,NULL,17586,25000,21900,3
Emory & Henry College,Emory,VA,24327-0947,Southern Association of Colleges and Schools Commission on Colleges,www.ehc.edu,www.ehc.edu/financial-aid/cost-calculator/,3,0,1,1,3,4,2,51,5,41,NULL,36.772857,-81.829142,47025,NULL,35100,35100,NULL,15007,45000,40700,2
Eastern Mennonite University,Harrisonburg,VA,22802-2462,Southern Association of Colleges and Schools Commission on Colleges,https://emu.edu,https://emu.edu/financial-aid/estimator,3,0,1,1,3,4,2,51,5,13,NULL,38.471134,-78.880326,47688,NULL,37110,37110,NULL,16768,44700,40300,2
Eastern Shore Community College,Melfa,VA,23410,Southern Association of Colleges and Schools Commission on Colleges,www.es.vccs.edu,https://www.vawizard.org/vccs/FinAidAwardEstimator.action,1,0,1,1,1,2,1,51,5,43,NULL,37.640453,-75.750791,10500,NULL,4800,10728,NULL,2902,28000,24300,1
Ferrum College,Ferrum,VA,24088-9000,Southern Association of Colleges and Schools Commission on Colleges,www.ferrum.edu,www.ferrum.edu/financial-aid/tuition-net-price-calculator/,3,0,1,1,3,3,2,51,5,42,NULL,36.926912,-80.021639,46382,NULL,34175,34175,NULL,13979,41100,37300,2
George Mason University,Fairfax,VA,22030-4444,Southern Association of Colleges and Schools Commission on Colleges,https://www2.gmu.edu/,https://gmu.studentaidcalculator.com/survey.aspx,3,0,1,1,3,4,1,51,5,21,NULL,38.829976,-77.307428,25871,NULL,12462,35922,NULL,12367,63900,59900,1
Germanna Community College,Locust Grove,VA,22508-2102,Southern Association of Colleges and Schools Commission on Colleges,www.germanna.edu,www.germanna.edu/paying-for-college/,1,0,1,1,1,2,1,51,5,41,NULL,38.375532,-77.78012,11341,NULL,4913,10841,NULL,3428,35100,30500,1
Hampden-Sydney College,Hampden-Sydney,VA,23943-0128,Southern Association of Colleges and Schools Commission on Colleges,www.hsc.edu,https://npc.collegeboard.org/student/app/hsc,3,0,1,1,3,3,2,51,5,42,NULL,37.240615,-78.464216,60360,NULL,45746,45746,NULL,17893,59000,52200,2
Hampton University,Hampton,VA,23668-0099,Southern Association of Colleges and Schools Commission on Colleges,www.hamptonu.edu,www.hamptonu.edu/studentservices/financialaid,3,0,1,1,3,4,2,51,5,12,NULL,37.019944,-76.339161,40521,NULL,26702,26702,NULL,17093,50100,44700,2
Hollins University,Roanoke,VA,24020,Southern Association of Colleges and Schools Commission on Colleges,www.hollins.edu,https://web1.hollins.edu/finaidcalc/fac/Default.aspx,3,0,1,1,3,4,2,51,5,22,NULL,37.354201,-79.943277,53773,NULL,39035,39035,NULL,10485,37900,35400,2
J Sargeant Reynolds Community College,Richmond,VA,23228-2327,Southern Association of Colleges and Schools Commission on Colleges,www.reynolds.edu,https://www.vawizard.org/wizard/financing-college,2,0,1,1,2,2,1,51,5,21,NULL,37.636837,-77.473918,11105,NULL,4998,10926,NULL,4033,34400,31300,1
James Madison University,Harrisonburg,VA,22807,Southern Association of Colleges and Schools Commission on Colleges,www.jmu.edu/,www.jmu.edu/financialaid/calculators/index.shtml,3,0,1,1,3,4,1,51,5,13,NULL,38.436311,-78.870484,26007,NULL,12016,28416,NULL,10289,63300,56600,1
John Tyler Community College,Chester,VA,23831-5316,Southern Association of Colleges and Schools Commission on Colleges,https://jtcc.edu,https://www.vawizard.org/wizard/npc,2,0,1,1,2,2,1,51,5,21,NULL,37.346254,-77.407919,11058,NULL,4800,10728,NULL,2502,36800,33400,1
